time,price,mean,min,max,sd
2019-7-7 02:36:54,1302805,1302711,1302626,1302866,103
2019-7-7 02:36:54,1302671,1302719,1302626,1302866,98
2019-7-7 02:36:55,1302671,1302680,1302626,1302805,65
2019-7-7 02:36:56,1302671,1302688,1302626,1302805,60
2019-7-7 02:36:57,1302671,1302697,1302671,1302805,53
2019-7-7 02:36:58,1302671,1302671,1302671,1302671,0
2019-7-7 02:36:59,1302671,1302671,1302671,1302671,0
2019-7-7 02:36:59,1302754,1302687,1302671,1302754,33
2019-7-7 02:37:00,1302845,1302722,1302671,1302845,69
2019-7-7 02:37:01,1302954,1302779,1302671,1302954,108
2019-7-7 02:37:02,1303194,1302883,1302671,1303194,181
2019-7-7 02:37:03,1303179,1302985,1302754,1303194,176
2019-7-7 02:37:04,1303179,1303070,1302845,1303194,143
2019-7-7 02:37:05,1303245,1303150,1302954,1303245,101
2019-7-7 02:37:06,1303142,1303187,1303142,1303245,33
2019-7-7 02:37:07,1303270,1303203,1303142,1303270,47
2019-7-7 02:37:07,1303270,1303221,1303142,1303270,51
2019-7-7 02:37:08,1303270,1303239,1303142,1303270,49
2019-7-7 02:37:09,1303270,1303244,1303142,1303270,51
2019-7-7 02:37:10,1303270,1303270,1303270,1303270,0
2019-7-7 02:37:11,1303057,1303227,1303057,1303270,85
2019-7-7 02:37:12,1303225,1303218,1303057,1303270,82
2019-7-7 02:37:13,1302985,1303161,1302985,1303270,118
2019-7-7 02:37:14,1302985,1303104,1302985,1303270,120
2019-7-7 02:37:14,1302985,1303047,1302985,1303225,93
2019-7-7 02:37:15,1302985,1303033,1302985,1303225,96
2019-7-7 02:37:16,1303079,1303003,1302985,1303079,37
2019-7-7 02:37:17,1303079,1303022,1302985,1303079,46
2019-7-7 02:37:18,1302926,1303010,1302926,1303079,59
2019-7-7 02:37:19,1302755,1302964,1302755,1303079,120
2019-7-7 02:37:20,1302548,1302877,1302548,1303079,203
2019-7-7 02:37:20,1302532,1302768,1302532,1303079,212
2019-7-7 02:37:21,1302493,1302650,1302493,1302926,165
2019-7-7 02:37:22,1302493,1302564,1302493,1302755,97
2019-7-7 02:37:23,1302493,1302511,1302493,1302548,23
2019-7-7 02:37:24,1302424,1302487,1302424,1302532,34
2019-7-7 02:37:25,1302291,1302438,1302291,1302493,78
2019-7-7 02:37:26,1302518,1302443,1302291,1302518,82
2019-7-7 02:37:27,1302841,1302513,1302291,1302841,181
2019-7-7 02:37:28,1302929,1302600,1302291,1302929,244
2019-7-7 02:37:28,1303054,1302726,1302291,1303054,280
2019-7-7 02:37:29,1303054,1302879,1302518,1303054,197
2019-7-7 02:37:30,1303338,1303043,1302841,1303338,167
2019-7-7 02:37:31,1303104,1303095,1302929,1303338,134
2019-7-7 02:37:32,1302843,1303078,1302843,1303338,157
2019-7-7 02:37:33,1302729,1303013,1302729,1303338,212
2019-7-7 02:37:34,1302666,1302936,1302666,1303338,250
2019-7-7 02:37:35,1302655,1302799,1302655,1303104,166
2019-7-7 02:37:36,1302938,1302766,1302655,1302938,108
2019-7-7 02:37:36,1303188,1302835,1302655,1303188,203
2019-7-7 02:37:37,1303188,1302927,1302655,1303188,235
2019-7-7 02:37:38,1303168,1303027,1302655,1303188,208
2019-7-7 02:37:39,1303279,1303152,1302938,1303279,113
2019-7-7 02:37:40,1303279,1303220,1303168,1303279,48
2019-7-7 02:37:41,1303279,1303238,1303168,1303279,49
2019-7-7 02:37:42,1303188,1303238,1303168,1303279,49
2019-7-7 02:37:42,1303188,1303242,1303188,1303279,44
2019-7-7 02:37:43,1303021,1303191,1303021,1303279,94
2019-7-7 02:37:44,1303000,1303135,1303000,1303279,107
2019-7-7 02:37:45,1302655,1303010,1302655,1303188,194
2019-7-7 02:37:46,1302651,1302903,1302651,1303188,214
2019-7-7 02:37:47,1302574,1302780,1302574,1303021,190
2019-7-7 02:37:48,1302571,1302690,1302571,1303000,159
2019-7-7 02:37:49,1302754,1302641,1302571,1302754,67
2019-7-7 02:37:49,1302947,1302699,1302571,1302947,140
2019-7-7 02:37:50,1303254,1302820,1302571,1303254,257
2019-7-7 02:37:51,1303280,1302961,1302571,1303280,276
2019-7-7 02:37:52,1303430,1303133,1302754,1303430,246
2019-7-7 02:37:53,1303053,1303192,1302947,1303430,171
2019-7-7 02:37:54,1302757,1303154,1302757,1303430,232
2019-7-7 02:37:55,1303170,1303138,1302757,1303430,227
2019-7-7 02:37:56,1303081,1303098,1302757,1303430,216
2019-7-7 02:37:56,1302855,1302983,1302757,1303170,152
2019-7-7 02:37:57,1302855,1302943,1302757,1303170,155
